arg1,arg2,verb,sentence,verb_stem,label
they,knock,it,"`` I do n't think anyone liked the Nissan campaign , but they went out of their way not to knock it , '' says Eli Bloom , the New York GM dealer who sits on the selection committee . -LRB- Mr .",knock,1
she,kick,him,"`` Next time , '' she says , she will kick him and his wife out .",kick,1
forces,kill,proposal,"People with AIDS , however , should understand that the forces arrayed to kill any proposal to suspend Kefauver are formidable .",kill,0
season,knock,team,"For the record , this was the second straight season in which the Redskins came to Chicago to knock the home team out of the playoffs .",knock,1
t.,pumped,rhythm,"Performing his own compositions , traditional R & B tunes , zydeco originals and his interpretations of rock numbers , Buck and the band spit out the kind of crackling music that 's been missing since the heyday of Stax Records , when Booker T. and the MGs pumped a driving rhythm behind Sam & Dave , Carla Thomas and Otis Redding .",pump,1
it,kills,parasite,"It kills the parasite residing in red blood cells and has few side effects , SmithKline said .",kill,0
group,examined,future,"Two years later a planning group examined the town 's economic future , leading to the incorporation of the Greencastle Development Center in September 1986 .",examine,1
he,missed,mark,Yet he missed the mark on his beliefs that money has no `` cost '' and interest rates are the `` price '' of money .,miss,0
who,roll,dice,`` But who 's going to roll the dice ? '',roll,0
union,struck,haulers,"The union struck car haulers over a 1985 contract , but locals do n't want to strike this time , largely because the action is seen as having little clout while auto makers are closed for model changeover .",strike,0
consumers,missed,much,"Yields on big certificates of deposit surged in the latest week , but consumers who generally hold smaller CDs missed much of the ride .",miss,0
stalin,absorb,church,"In 1946 , Stalin in his campaign to break Ukrainian nationalism brutally forced the Russian Orthodox Church to absorb the Ukrainian Catholic Church .",absorb,1
failure,plow,profits,"He frets that industry 's failure to plow profits back into new capacity will constrain exports , considered by many economists as the brightest hope for maintaining U.S. growth , even if consumer spending weakens .",plow,0
remark,cooled,heels,"`` That remark -LRB- of the official -RRB- definitely cooled the heels of the bulls , '' said Paul Clohesy , chief dealer at Australia and New Zealand Banking Group Ltd. in New York .",cool,1
industry,miss,olson,"Thomas E. Bolger , chairman and chief executive officer of Bell Atlantic Corp. in Philadelphia , said that although `` the entire industry will miss '' Mr. Olson , he does n't believe the company will suffer any substantial setbacks .",miss,0
bush,attacked,governor,Mr. Bush attacked the Massachusetts governor for vetoing a bill to require school teachers to lead pupils in the pledge of allegiance and for Massachusetts ' prisoner-furlough program .,attack,0
cargill,pumped,million,Cargill pumped nearly $ 1 million into the weekly radio program from its inception in 1975 through Mr. Keillor 's departure in June of last year .,pump,1
skaters,pump,revenue,"Besides if Mikhail Gorbachev wants to spend all those resources so the East bloc 's skaters and lugers can pump revenue into ABC , it 's fine with us .",pump,1
industry,poured,fortune,"For one , the industry has poured a fortune into advertisements designed to promote plastic bags , trashcan liners and other household products that are , as the television commercial goes , hefty , hefty , hefty .",pour,1
one,grabbing,concorde,"So far , no one is grabbing the first Concorde out .",grab,1
he,killed,47,He killed 47 in one month .,kill,0
woman,examining,vase,"Particularly remarkable in this context are Whistler 's lyrical 1864 depiction of an English woman examining a blue-and-white ceramic vase , which mixes Chinese and Japanese themes , and Monet 's astonishingly brash depiction of his wife in a bright red kimono , surrounded by fans .",examine,0
genscher,lent,to,Mr. Genscher and his Free Democratic Party have lent support to such efforts by pursuing a detentist line .,lend,0
groups,targeting,airports,"More sophisticated groups of pickpockets and scam artists are also targeting airports , police say .",target,1
war,absorb,revenue,In no case did expenditures rise enough after the war to absorb the revenue that would have been available if the war taxes had been retained .,absorb,0
tankers,flying,flags,"Those convoys currently protect only Kuwaiti tankers flying U.S. flags , but in Washington , Pentagon officials are discussing whether to extend protection to all neutral ships .",fly,0
workers,struck,plants,"While workers struck three plants , the company locked out about 1 , 200 workers at a fourth plant , in Mobile , Ala .",strike,0
she,kill,baby,"With her giant henchman , the evil Gen. Kael -LRB- possibly named after the film critic of the New Yorker magazine , Pauline Kael -RRB- , she 's out to kill the baby who 's destined to end her rule .",kill,0
that,lent,money,The rest would go to more than 30 international banks that lent the National Bank money before it was seized and closed by Brunei in November 1986 .,lend,0
people,drink,it,"The theory behind the strategy: If it 's there , people will drink it .",drink,0
emperor,dances,pas,"In the third `` mansion , '' the lascivious emperor , Diocletian -LRB- Patrick Dupond -RRB- , dances a pas de deux with the youth and then repeats it , almost step for step , with the queen .",dance,0
machine,pumping,blood,"Two doctors from Pittsburgh raced by private jet to the Midwest to retrieve it ; on return , bad weather kept their plane circling over Pittsburgh for an hour and a half while Mr. McGowan , his chest opened and a heart-lung machine pumping his blood , lay on the operating table .",pump,0
kimberlon,escape,trap,"Kimberlon , the costume maker , tried generic packaging to escape the seasonal trap , even eliminating the word Halloween .",escape,1
cost,absorbs,third,"The cost , about $ 250 a month , absorbs almost a third of her $ 1 , 400 monthly take-home pay .",absorb,1
inc.,stepping,war,"Eastern Airlines Inc. is stepping up its marketing war in the busy , competitive Northeast shuttle-service market , offering discounts of as much as 30 % for passengers buying tickets in bulk .",step,1
they,pump,arms,"They pump their arms and wiggle their hips vigorously , producing a motion that Red Smith once likened to that of earthworms out after a thunderstorm .",pump,0
you,plant,it,"You have to plant it when it 's small , and wait for it to grow. '",plant,0
plan,pump,francs,"France 's Socialist government resurrected the previous government 's plan to pump 12 billion francs -LRB- $ 1.88 billion -RRB- into state-owned auto maker Regie Nationale des Usines Renault , a move that may raise hackles in the European Community .",pump,1
